Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
5.320	0.1047	118.08	1.095	332.36	-1000000	-1000000	-1000000	-1000000	
5.340	0.1048	117.37	1.095	332.14	-1000000	-1000000	-1000000	-1000000	
5.360	0.1049	116.92	1.095	332.20	-1000000	-1000000	-1000000	-1000000	
5.380	0.1049	116.67	1.095	332.41	-1000000	-1000000	-1000000	-1000000	
5.400	0.1050	116.73	1.096	332.49	-1000000	-1000000	-1000000	-1000000	
5.420	0.1050	116.89	1.096	332.46	-1000000	-1000000	-1000000	-1000000	
5.440	0.1051	116.88	1.096	332.24	-1000000	-1000000	-1000000	-1000000	
5.460	0.1051	116.79	1.096	332.25	-1000000	-1000000	-1000000	-1000000	
5.480	0.1052	116.16	1.097	332.71	-1000000	-1000000	-1000000	-1000000	
5.500	0.1053	114.62	1.097	333.04	-1000000	-1000000	-1000000	-1000000	
5.520	0.1054	111.40	1.097	332.92	-1000000	-1000000	-1000000	-1000000	
5.540	0.1056	107.28	1.098	333.21	-1000000	-1000000	-1000000	-1000000	
5.560	0.1058	103.16	1.098	333.78	-1000000	-1000000	-1000000	-1000000	
5.580	0.1059	99.91	1.098	334.26	-1000000	-1000000	-1000000	-1000000	
5.600	0.1059	98.57	1.099	334.57	-1000000	-1000000	-1000000	-1000000	
5.620	0.1060	99.15	1.099	334.74	-1000000	-1000000	-1000000	-1000000	
5.640	0.1062	101.60	1.100	334.93	-1000000	-1000000	-1000000	-1000000	
5.660	0.1063	105.27	1.101	335.11	-1000000	-1000000	-1000000	-1000000	
5.680	0.1064	109.21	1.101	335.80	-1000000	-1000000	-1000000	-1000000	
5.700	0.1065	113.05	1.101	336.18	-1000000	-1000000	-1000000	-1000000	
5.720	0.1066	116.30	1.102	335.91	-1000000	-1000000	-1000000	-1000000	
5.740	0.1066	118.08	1.102	335.83	-1000000	-1000000	-1000000	-1000000	
5.760	0.1067	118.62	1.102	336.38	-1000000	-1000000	-1000000	-1000000	
5.780	0.1067	118.14	1.103	336.83	-1000000	-1000000	-1000000	-1000000	
5.800	0.1067	117.13	1.103	336.99	-1000000	-1000000	-1000000	-1000000	
5.820	0.1068	115.97	1.103	336.94	-1000000	-1000000	-1000000	-1000000	
5.840	0.1069	115.82	1.103	337.15	-1000000	-1000000	-1000000	-1000000	
5.860	0.1070	116.31	1.104	337.23	-1000000	-1000000	-1000000	-1000000	
5.880	0.1071	116.78	1.104	337.73	-1000000	-1000000	-1000000	-1000000	
5.900	0.1072	117.05	1.104	337.74	-1000000	-1000000	-1000000	-1000000	
5.920	0.1072	116.74	1.105	337.87	-1000000	-1000000	-1000000	-1000000	
5.940	0.1073	115.74	1.105	338.21	-1000000	-1000000	-1000000	-1000000	
5.960	0.1074	114.94	1.105	338.33	-1000000	-1000000	-1000000	-1000000	
5.980	0.1075	114.17	1.105	338.46	-1000000	-1000000	-1000000	-1000000	
6.000	0.1077	113.16	1.106	338.88	-1000000	-1000000	-1000000	-1000000	
6.020	0.1077	112.37	1.106	339.15	-1000000	-1000000	-1000000	-1000000	
6.040	0.1078	111.83	1.106	339.52	-1000000	-1000000	-1000000	-1000000	
6.060	0.1079	111.61	1.107	340.05	-1000000	-1000000	-1000000	-1000000	
6.080	0.1079	112.50	1.107	340.33	-1000000	-1000000	-1000000	-1000000	
6.100	0.1080	114.88	1.108	340.35	-1000000	-1000000	-1000000	-1000000	
6.120	0.1080	118.00	1.108	340.47	-1000000	-1000000	-1000000	-1000000	
