Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
4.280	0.06726	-245.23	0.8742	300.09	-1000000	-1000000	-1000000	-1000000	
4.300	0.06882	-249.79	0.8802	300.10	-1000000	-1000000	-1000000	-1000000	
4.320	0.07037	-249.48	0.8862	300.15	-1000000	-1000000	-1000000	-1000000	
4.340	0.07192	-248.23	0.8920	300.17	-1000000	-1000000	-1000000	-1000000	
4.360	0.07346	-247.66	0.8978	300.12	-1000000	-1000000	-1000000	-1000000	
4.380	0.07504	-248.04	0.9036	300.09	-1000000	-1000000	-1000000	-1000000	
4.400	0.07669	-249.35	0.9093	300.12	-1000000	-1000000	-1000000	-1000000	
4.420	0.07833	-251.08	0.9150	300.16	-1000000	-1000000	-1000000	-1000000	
4.440	0.07990	-253.08	0.9208	300.16	-1000000	-1000000	-1000000	-1000000	
4.460	0.08142	-255.52	0.9267	300.10	-1000000	-1000000	-1000000	-1000000	
4.480	0.08295	-258.17	0.9324	300.09	-1000000	-1000000	-1000000	-1000000	
4.500	0.08455	-260.23	0.9383	300.14	-1000000	-1000000	-1000000	-1000000	
4.520	0.08618	-260.92	0.9442	300.17	-1000000	-1000000	-1000000	-1000000	
4.540	0.08778	-260.85	0.9503	300.14	-1000000	-1000000	-1000000	-1000000	
4.560	0.08935	-260.97	0.9564	300.08	-1000000	-1000000	-1000000	-1000000	
4.580	0.09098	-261.28	0.9622	300.10	-1000000	-1000000	-1000000	-1000000	
4.600	0.09256	-261.41	0.9681	300.15	-1000000	-1000000	-1000000	-1000000	
4.620	0.09414	-261.23	0.9742	300.16	-1000000	-1000000	-1000000	-1000000	
4.640	0.09574	-261.63	0.9802	300.11	-1000000	-1000000	-1000000	-1000000	
4.660	0.09736	-263.10	0.9862	300.08	-1000000	-1000000	-1000000	-1000000	
4.680	0.09896	-265.23	0.9920	300.13	-1000000	-1000000	-1000000	-1000000	
4.700	0.1006	-267.58	0.9980	300.17	-1000000	-1000000	-1000000	-1000000	
4.720	0.1023	-269.82	1.004	300.15	-1000000	-1000000	-1000000	-1000000	
4.740	0.1040	-271.47	1.010	300.09	-1000000	-1000000	-1000000	-1000000	
4.760	0.1057	-272.33	1.016	300.09	-1000000	-1000000	-1000000	-1000000	
4.780	0.1073	-272.75	1.022	300.14	-1000000	-1000000	-1000000	-1000000	
4.800	0.1089	-272.85	1.028	300.17	-1000000	-1000000	-1000000	-1000000	
4.820	0.1105	-272.75	1.035	300.13	-1000000	-1000000	-1000000	-1000000	
4.840	0.1122	-272.69	1.041	300.08	-1000000	-1000000	-1000000	-1000000	
4.860	0.1139	-272.83	1.047	300.11	-1000000	-1000000	-1000000	-1000000	
4.880	0.1155	-273.40	1.053	300.16	-1000000	-1000000	-1000000	-1000000	
4.900	0.1172	-274.13	1.059	300.15	-1000000	-1000000	-1000000	-1000000	
4.920	0.1189	-274.34	1.065	300.10	-1000000	-1000000	-1000000	-1000000	
4.940	0.1205	-274.24	1.072	300.15	-1000000	-1000000	-1000000	-1000000	
4.960	0.1221	-274.26	1.078	301.28	-1000000	-1000000	-1000000	-1000000	
4.980	0.1237	-274.21	1.084	304.52	-1000000	-1000000	-1000000	-1000000	
5.000	0.1253	-274.16	1.090	308.17	-1000000	-1000000	-1000000	-1000000	
5.020	0.1270	-274.36	1.096	312.15	-1000000	-1000000	-1000000	-1000000	
5.040	0.1287	-274.43	1.103	316.44	-1000000	-1000000	-1000000	-1000000	
5.060	0.1302	-273.83	1.109	320.05	-1000000	-1000000	-1000000	-1000000	
5.080	0.1314	-268.75	1.115	323.05	-1000000	-1000000	-1000000	-1000000	
